player_id,player_name,team,position,current_start_prob,current_conditional_start_prob,current_appearance_prob,current_availability_risk,before_start_prob,before_conditional_start_prob,before_appearance_prob,before_availability_risk,recent_starts,recent_sub_appearances,recent_unused_bench,recent_absences,injury_absences,competitive_match_starts,friendly_match_starts,post_qualification_rotation_matches,round_specific_rotation_risk,suspected_issue,recommended_action,source_note
ngelo_preciado__ecu,Angelo Preciado,ECU,DEF,0.7096,0.7963,,medium_risk,0.7096,0.7963,,medium_risk,,,,24,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
anthony_valencia__ecu,Anthony Valencia,ECU,FWD,0.6757,0.7857,,high_risk,0.6757,0.7857,,high_risk,,,,28,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
enner_valencia__ecu,Enner Valencia,ECU,FWD,0.8568,0.97,,medium_risk,0.8568,0.97,,medium_risk,,,,47,,3.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
gonzalo_plata__ecu,Gonzalo Plata,ECU,MID,0.7964,0.9211,,high_risk,0.7964,0.9211,,high_risk,,,,25,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
kevin_rodr_guez__ecu,Kevin Rodriguez,ECU,FWD,0.6968,0.7778,,medium_risk,0.6968,0.7778,,medium_risk,,,,7,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
mois_s_caicedo__ecu,Moises Caicedo,ECU,MID,0.9079,0.97,,medium_risk,0.9079,0.97,,medium_risk,,,,11,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
pedro_vite__ecu,Pedro Vite,ECU,MID,0.7525,0.875,,high_risk,0.7525,0.875,,high_risk,,,,17,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
pervis_estupi_n__ecu,Pervis Estupinan,ECU,DEF,0.8713,0.97,,medium_risk,0.8713,0.97,,medium_risk,,,,21,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
piero_hincapi__ecu,Piero Hincapie,ECU,DEF,0.8766,0.9444,,medium_risk,0.8766,0.9444,,medium_risk,,,,12,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ahmed_fatouh__egy,Ahmed Fatouh,EGY,DEF,0.6536,0.76,,high_risk,0.6536,0.76,,high_risk,,,,37,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
emam_ashour__egy,Emam Ashour,EGY,MID,0.6622,0.7692,,high_risk,0.6622,0.7692,,high_risk,,,,27,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
mohamed_hany__egy,Mohamed Hany,EGY,DEF,0.6987,0.8125,,high_risk,0.6987,0.8125,,high_risk,,,,77,,6.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
rami_rabia__egy,Rami Rabia,EGY,DEF,0.7193,0.8364,,high_risk,0.7193,0.8364,,high_risk,,,,97,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
bukayo_saka__eng,Bukayo Saka,ENG,FWD,0.8152,0.92,,medium_risk,0.8152,0.92,,medium_risk,,,,24,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
declan_rice__eng,Declan Rice,ENG,MID,0.8465,0.8706,,low_risk,0.8465,0.8706,,low_risk,,,,4,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
elliot_anderson__eng,Elliot Anderson,ENG,MID,0.8807,0.97,,medium_risk,0.8807,0.97,,medium_risk,,,,1,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
harry_kane__eng,Harry Kane,ENG,FWD,0.8702,0.9106,,low_risk,0.8702,0.9106,,low_risk,,,,15,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
john_stones__eng,John Stones,ENG,DEF,0.7454,0.8302,,medium_risk,0.7454,0.8302,,medium_risk,,,,43,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jordan_henderson__eng,Jordan Henderson,ENG,MID,0.7192,0.8,,medium_risk,0.7192,0.8,,medium_risk,,,,52,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jordan_pickford__eng,Jordan Pickford,ENG,GK,0.7459,0.7727,,low_risk,0.7459,0.7727,,low_risk,,,,9,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jude_bellingham__eng,Jude Bellingham,ENG,MID,0.7202,0.7857,,medium_risk,0.7202,0.7857,,medium_risk,,,,16,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
kobbie_mainoo__eng,Kobbie Mainoo,ENG,MID,0.7371,0.8571,,high_risk,0.7371,0.8571,,high_risk,,,,15,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
marc_gu_hi__eng,Marc Guehi,ENG,DEF,0.6708,0.75,,medium_risk,0.6708,0.75,,medium_risk,,,,15,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
marcus_rashford__eng,Marcus Rashford,ENG,FWD,0.7499,0.859,,high_risk,0.7499,0.859,,high_risk,,,,45,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
morgan_rogers__eng,Morgan Rogers,ENG,MID,0.8928,0.97,,medium_risk,0.8928,0.97,,medium_risk,,,,1,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
noni_madueke__eng,Noni Madueke,ENG,FWD,0.7302,0.8571,,high_risk,0.7302,0.8571,,high_risk,,,,7,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ferr_n_torres__esp,Ferran Torres,ESP,FWD,0.8416,0.9153,,medium_risk,0.8416,0.9153,,medium_risk,,,,16,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
marc_cucurella__esp,Marc Cucurella,ESP,DEF,0.6634,0.7714,,high_risk,0.6634,0.7714,,high_risk,,,,37,,7.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
mikel_merino__esp,Mikel Merino,ESP,MID,0.74,0.8605,,high_risk,0.74,0.8605,,high_risk,,,,31,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
pedri__esp,Pedri,ESP,MID,0.8417,0.97,,high_risk,0.8417,0.97,,high_risk,,,,27,,6.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
adrien_rabiot__fra,Adrien Rabiot,FRA,MID,0.6584,0.75,,high_risk,0.6584,0.75,,high_risk,,,,41,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
d_sir_dou__fra,Desire Doue,FRA,FWD,0.7192,0.8333,,high_risk,0.7192,0.8333,,high_risk,,,,5,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
lucas_hern_ndez__fra,Lucas Hernandez,FRA,DEF,0.6898,0.7333,,medium_risk,0.6898,0.7333,,medium_risk,,,,16,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
malo_gusto__fra,Malo Gusto,FRA,DEF,0.6615,0.7692,,high_risk,0.6615,0.7692,,high_risk,,,,18,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
n_golo_kant__fra,N'Golo Kante,FRA,MID,0.7285,0.8415,,high_risk,0.7285,0.8415,,high_risk,,,,52,,3.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ousmane_demb_l__fra,Ousmane Dembele,FRA,FWD,0.698,0.8116,,high_risk,0.698,0.8116,,high_risk,,,,49,,6.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
rayan_cherki__fra,Rayan Cherki,FRA,FWD,0.6933,0.8,,high_risk,0.6933,0.8,,high_risk,,,,4,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
aleksandar_pavlovic__ger,Aleksandar Pavlovic,GER,MID,0.7126,0.8125,,high_risk,0.7126,0.8125,,high_risk,,,,9,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
deniz_undav__ger,Deniz Undav,GER,FWD,0.3287,0.3684,,medium_risk,0.3287,0.3684,,medium_risk,,,,8,,2.0,,,,no high-confidence data error found,keep current signal; review only if new usage data arrives,
kai_havertz__ger,Kai Havertz,GER,FWD,0.8043,0.8714,,medium_risk,0.8043,0.8714,,medium_risk,,,,18,,3.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
leon_goretzka__ger,Leon Goretzka,GER,MID,0.7892,0.9176,,high_risk,0.7892,0.9176,,high_risk,,,,67,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
leroy_san__ger,Leroy Sane,GER,FWD,0.8215,0.9053,,medium_risk,0.8215,0.9053,,medium_risk,,,,33,,4.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
nick_woltemade__ger,Nick Woltemade,GER,FWD,0.9083,0.97,,medium_risk,0.9083,0.97,,medium_risk,,,,0,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
alexander_djiku__gha,Alexander Djiku,GHA,DEF,0.8325,0.9535,,high_risk,0.8325,0.9535,,high_risk,,,,25,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
i_aki_williams__gha,Iñaki Williams,GHA,FWD,0.8226,0.9565,,high_risk,0.8226,0.9565,,high_risk,,,,19,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
kamaldeen_sulemana__gha,Kamaldeen Sulemana,GHA,FWD,0.6808,0.7917,,high_risk,0.6808,0.7917,,high_risk,,,,37,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
thomas_partey__gha,Thomas Partey,GHA,MID,0.778,0.9,,high_risk,0.778,0.9,,high_risk,,,,39,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
derrick_etienne__hai,Derrick Etienne Jr.,HAI,FWD,0.6987,0.8125,,high_risk,0.6987,0.8125,,high_risk,,,,23,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
duckens_nazon__hai,Duckens Nazon,HAI,FWD,0.8543,0.9322,,medium_risk,0.8543,0.9322,,medium_risk,,,,17,,3.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jean_kevin_duverne__hai,Jean-Kevin Duverne,HAI,DEF,0.8502,0.97,,high_risk,0.8502,0.97,,high_risk,,,,8,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
johny_placide__hai,Johny Placide,HAI,GK,0.7982,0.9231,,high_risk,0.7982,0.9231,,high_risk,,,,42,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
ricardo_ad__hai,Ricardo Ade,HAI,DEF,0.7464,0.8679,,high_risk,0.7464,0.8679,,high_risk,,,,42,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
ruben_providence__hai,Ruben Providence,HAI,FWD,0.8296,0.8889,,medium_risk,0.8296,0.8889,,medium_risk,,,,0,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ali_alipour__irn,Ali Alipour,IRN,FWD,0.6615,0.7692,,high_risk,0.6615,0.7692,,high_risk,,,,66,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
alireza_beiranvand__irn,Alireza Beiranvand,IRN,GK,0.7037,0.7368,,low_risk,0.7037,0.7368,,low_risk,,,,14,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
alireza_jahanbakhsh__irn,Alireza Jahanbakhsh,IRN,FWD,0.825,0.913,,medium_risk,0.825,0.913,,medium_risk,,,,34,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
hossein_abarghouei__irn,Hossein Abarghouei,IRN,DEF,0.7913,0.97,,high_risk,0.7913,0.97,,high_risk,,,,6,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
mehdi_ghayedi__irn,Mehdi Ghayedi,IRN,MID,0.7519,0.8571,,high_risk,0.7519,0.8571,,high_risk,,,,23,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
mehdi_taremi__irn,Mehdi Taremi,IRN,FWD,0.9079,0.9505,,low_risk,0.9079,0.9505,,low_risk,,,,12,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
milad_mohammadi__irn,Milad Mohammadi,IRN,DEF,0.6793,0.7245,,medium_risk,0.6793,0.7245,,medium_risk,,,,19,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
mohammad_mohebi__irn,Mohammad Mohebi,IRN,FWD,0.8342,0.97,,high_risk,0.8342,0.97,,high_risk,,,,34,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
omid_noorafkan__irn,Omid Noorafkan,IRN,MID,0.7415,0.8596,,high_risk,0.7415,0.8596,,high_risk,,,,38,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ramin_rezaeian__irn,Ramin Rezaeian,IRN,DEF,0.7,0.7901,,medium_risk,0.7,0.7901,,medium_risk,,,,39,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
saman_ghoddos__irn,Saman Ghoddos,IRN,MID,0.8236,0.9118,,medium_risk,0.8236,0.9118,,medium_risk,,,,25,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
shoja_khalilzadeh__irn,Shojae Khalilzadeh,IRN,DEF,0.7167,0.8333,,high_risk,0.7167,0.8333,,high_risk,,,,132,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
aimar_sher__irq,Aimar Sher,IRQ,MID,0.6783,0.8,,high_risk,0.6783,0.8,,high_risk,,,,6,,3.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
aymen_hussein__irq,Aymen Hussein,IRQ,FWD,0.7292,0.8358,,high_risk,0.7292,0.8358,,high_risk,,,,39,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
merchas_doski__irq,Merchas Doski,IRQ,DEF,0.8342,0.97,,high_risk,0.8342,0.97,,high_risk,,,,21,,15.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
abdallah_nasib__jor,Abdallah Nasib,JOR,DEF,0.8045,0.9355,,high_risk,0.8045,0.9355,,high_risk,,,,59,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
baha_a_faisal__jor,Baha'a Faisal,JOR,FWD,0.7502,0.8723,,high_risk,0.7502,0.8723,,high_risk,,,,57,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
mahmoud_al_mardi__jor,Mahmoud Al-Mardi,JOR,MID,0.731,0.85,,high_risk,0.731,0.85,,high_risk,,,,52,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
mohammad_al_dawoud__jor,Mohammad Al-Dawoud,JOR,MID,0.6645,0.7727,,high_risk,0.6645,0.7727,,high_risk,,,,163,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
mohannad_abu_taha__jor,Mohannad Abu Taha,JOR,MID,0.7598,0.8462,,medium_risk,0.7598,0.8462,,medium_risk,,,,10,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
nizar_al_rashdan__jor,Nizar Al-Rashdan,JOR,MID,0.8165,0.8936,,medium_risk,0.8165,0.8936,,medium_risk,,,,14,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
noor_al_rawabdeh__jor,Noor Al-Rawabdeh,JOR,MID,0.7836,0.8841,,medium_risk,0.7836,0.8841,,medium_risk,,,,33,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
yazan_al_arab__jor,Yazan Al-Arab,JOR,DEF,0.7457,0.8125,,medium_risk,0.7457,0.8125,,medium_risk,,,,23,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ao_tanaka__jpn,Ao Tanaka,JPN,MID,0.6829,0.78,,high_risk,0.6829,0.78,,high_risk,,,,28,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ayase_ueda__jpn,Ayase Ueda,JPN,FWD,0.7167,0.8333,,high_risk,0.7167,0.8333,,high_risk,,,,39,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
daichi_kamada__jpn,Daichi Kamada,JPN,MID,0.7254,0.8276,,high_risk,0.7254,0.8276,,high_risk,,,,32,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
junnosuke_suzuki__jpn,Junnosuke Suzuki,JPN,DEF,0.7446,0.8571,,high_risk,0.7446,0.8571,,high_risk,,,,5,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
junya_ito__jpn,Junya Ito,JPN,MID,0.7491,0.8375,,medium_risk,0.7491,0.8375,,medium_risk,,,,34,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
keisuke_goto__jpn,Keisuke Goto,JPN,FWD,0.6844,0.75,,medium_risk,0.6844,0.75,,medium_risk,,,,0,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
takehiro_tomiyasu__jpn,Takehiro Tomiyasu,JPN,DEF,0.7391,0.8571,,high_risk,0.7391,0.8571,,high_risk,,,,33,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
yuito_suzuki__jpn,Yuito Suzuki,JPN,FWD,0.6857,0.8571,,high_risk,0.6857,0.8571,,high_risk,,,,16,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,0.7557,0.8547,,medium_risk,0.7557,0.8547,,medium_risk,,,,85,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
hwang_hee_chan__kor,Hee-Chan Hwang,KOR,MID,0.7563,0.8676,,high_risk,0.7563,0.8676,,high_risk,,,,40,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
ji_sung_eom__kor,Ji-sung Eom,KOR,MID,0.6689,0.7778,,high_risk,0.6689,0.7778,,high_risk,,,,37,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
jin_gyu_kim__kor,Jin-gyu Kim,KOR,MID,0.7167,0.8333,,high_risk,0.7167,0.8333,,high_risk,,,,37,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
abdulelah_al_amri__ksa,Abdulelah Al-Amri,KSA,DEF,0.6689,0.7778,,high_risk,0.6689,0.7778,,high_risk,,,,50,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
ali_majrashi__ksa,Ali Majrashi,KSA,DEF,0.7167,0.8333,,high_risk,0.7167,0.8333,,high_risk,,,,46,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
ayman_yahya_salem__ksa,Ayman Yahya Salem,KSA,MID,0.6615,0.7692,,high_risk,0.6615,0.7692,,high_risk,,,,49,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
mohamed_kanno__ksa,Mohamed Kanno,KSA,MID,0.7666,0.8806,,high_risk,0.7666,0.8806,,high_risk,,,,40,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
nasser_al_dawsari__ksa,Nasser Al-Dawsari,KSA,MID,0.6741,0.7838,,high_risk,0.6741,0.7838,,high_risk,,,,30,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
nawaf_al_boushal__ksa,Nawaf Al-Boushal,KSA,DEF,0.7414,0.8621,,high_risk,0.7414,0.8621,,high_risk,,,,37,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
saleh_al_shamat__ksa,Saleh Al-Shamat,KSA,MID,0.7644,0.8889,,high_risk,0.7644,0.8889,,high_risk,,,,31,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
salem_al_dawsari__ksa,Salem Al-Dawsari,KSA,MID,0.8245,0.9588,,high_risk,0.8245,0.9588,,high_risk,,,,67,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
abdelhamid_ait_boudlal__mar,Abdelhamid Ait Boudlal,MAR,DEF,0.8488,0.97,,unknown,0.8488,0.97,,unknown,,,,1,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ayoub_el_kaabi__mar,Ayoub El Kaabi,MAR,FWD,0.7445,0.8657,,high_risk,0.7445,0.8657,,high_risk,,,,54,,6.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
azzedine_ounahi__mar,Azzedine Ounahi,MAR,MID,0.8135,0.9057,,medium_risk,0.8135,0.9057,,medium_risk,,,,21,,3.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
brahim_d_az__mar,Brahim Diaz,MAR,FWD,0.8254,0.9583,,high_risk,0.8254,0.9583,,high_risk,,,,17,,7.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,0.6689,0.7778,,high_risk,0.6689,0.7778,,high_risk,,,,18,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
hakim_ziyech__mar,Hakim Ziyech,MAR,MID,0.8184,0.9516,,high_risk,0.8184,0.9516,,high_risk,,,,66,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
ismael_saibari__mar,Ismael Saibari,MAR,MID,0.6814,0.7857,,high_risk,0.6814,0.7857,,high_risk,,,,18,,7.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
mohamed_rabie_hrimat__mar,Mohamed Rabie Hrimat,MAR,MID,0.8342,0.97,,high_risk,0.8342,0.97,,high_risk,,,,12,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
nayef_aguerd__mar,Nayef Aguerd,MAR,DEF,0.7453,0.8667,,high_risk,0.7453,0.8667,,high_risk,,,,80,,7.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
noussair_mazraoui__mar,Noussair Mazraoui,MAR,DEF,0.7704,0.8958,,high_risk,0.7704,0.8958,,high_risk,,,,77,,7.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
sofyan_amrabat__mar,Sofyan Amrabat,MAR,MID,0.6942,0.8072,,high_risk,0.6942,0.8072,,high_risk,,,,85,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
youssef_en_nesyri__mar,Youssef En-Nesyri,MAR,FWD,0.7808,0.8854,,medium_risk,0.7808,0.8854,,medium_risk,,,,49,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
alexis_vega__mex,Alexis Vega,MEX,FWD,0.6639,0.7719,,high_risk,0.6639,0.7719,,high_risk,,,,43,,5.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
erick_sanchez__mex,Erick Sanchez,MEX,MID,0.6576,0.7647,,high_risk,0.6576,0.7647,,high_risk,,,,46,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
juli_n_qui_ones__mex,Julian Quinones,MEX,FWD,0.6223,0.7222,,high_risk,0.6223,0.7222,,high_risk,,,,13,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
obed_vargas__mex,Obed Vargas,MEX,MID,0.6873,0.8182,,high_risk,0.6873,0.8182,,high_risk,,,,12,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
ra_l_jim_nez__mex,Raul Jimenez,MEX,FWD,0.7012,0.8154,,high_risk,0.7012,0.8154,,high_risk,,,,91,,6.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
jurri_n_timber__ned,Jurrien Timber,NED,DEF,0.6497,0.7381,,medium_risk,0.6497,0.7381,,medium_risk,,,,22,,,,,,no high-confidence data error found,keep current signal; review only if new usage data arrives,
alexander_s_rloth__nor,Alexander Sørloth,NOR,FWD,0.8078,0.8871,,medium_risk,0.8078,0.8871,,medium_risk,,,,20,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
antonio_nusa__nor,Antonio Nusa,NOR,MID,0.8157,0.8889,,medium_risk,0.8157,0.8889,,medium_risk,,,,4,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
david_m_ller_wolfe__nor,David Møller Wolfe,NOR,DEF,0.8444,0.9,,medium_risk,0.8444,0.9,,medium_risk,,,,2,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
erling_haaland__nor,Erling Haaland,NOR,FWD,0.8883,0.97,,medium_risk,0.8883,0.97,,medium_risk,,,,15,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
julian_ryerson__nor,Julian Ryerson,NOR,DEF,0.7228,0.75,,low_risk,0.7228,0.75,,low_risk,,,,2,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
j_rgen_strand_larsen__nor,Jørgen Strand Larsen,NOR,FWD,0.7453,0.8182,,medium_risk,0.7453,0.8182,,medium_risk,,,,10,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
kristian_thorstvedt__nor,Kristian Thorstvedt,NOR,MID,0.6884,0.7917,,high_risk,0.6884,0.7917,,high_risk,,,,15,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
kristoffer_ajer__nor,Kristoffer Ajer,NOR,DEF,0.8028,0.8947,,medium_risk,0.8028,0.8947,,medium_risk,,,,23,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
martin_degaard__nor,Martin Ødegaard,NOR,MID,0.8375,0.9011,,medium_risk,0.8375,0.9011,,medium_risk,,,,21,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
oscar_bobb__nor,Oscar Bobb,NOR,MID,0.9101,0.97,,medium_risk,0.9101,0.97,,medium_risk,,,,2,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
patrick_berg__nor,Patrick Berg,NOR,MID,0.698,0.7442,,medium_risk,0.698,0.7442,,medium_risk,,,,7,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
sander_berge__nor,Sander Berge,NOR,MID,0.8794,0.9552,,medium_risk,0.8794,0.9552,,medium_risk,,,,18,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,0.7262,0.7692,,medium_risk,0.7262,0.7692,,medium_risk,,,,0,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ben_old__nzl,Ben Old,NZL,MID,0.8147,0.9474,,high_risk,0.8147,0.9474,,high_risk,,,,17,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
callum_mccowatt__nzl,Callum McCowatt,NZL,MID,0.7572,0.8387,,medium_risk,0.7572,0.8387,,medium_risk,,,,11,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
chris_wood__nzl,Chris Wood,NZL,FWD,0.8404,0.9333,,medium_risk,0.8404,0.9333,,medium_risk,,,,29,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
joe_bell__nzl,Joe Bell,NZL,MID,0.8244,0.9333,,medium_risk,0.8244,0.9333,,medium_risk,,,,15,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
